datahora,casos_novos
2020-06-30,2107
2020-07-01,2209
2020-07-02,5656
2020-07-03,2090
2020-07-04,688
2020-07-05,2109
2020-07-06,360
2020-07-07,2271
2020-07-08,2071
2020-07-09,2166
2020-07-10,2692
2020-07-11,1934
2020-07-12,1441
2020-07-13,1207
2020-07-14,4789
2020-07-15,1524
2020-07-16,1916
2020-07-17,1382
2020-07-18,1470
2020-07-19,979
2020-07-20,275
2020-07-21,1453
2020-07-22,3318
2020-07-23,2591
2020-07-24,2480
2020-07-25,2925
2020-07-26,662
2020-07-27,2250
2020-07-28,3681
2020-07-29,3119
2020-07-30,4857
2020-07-31,3876
2020-08-01,2114
2020-08-02,770
2020-08-03,261
2020-08-04,2574
2020-08-05,2823
2020-08-06,3457
2020-08-07,1910
2020-08-08,2038
2020-08-09,587
2020-08-10,235
2020-08-11,2915
2020-08-12,6896
2020-08-13,7063
2020-08-14,2784
2020-08-15,1532
2020-08-16,347
2020-08-17,297
2020-08-18,1771
2020-08-19,2181
2020-08-20,1649
2020-08-21,825
2020-08-22,3903
2020-08-23,911
2020-08-24,327
2020-08-25,2441
2020-08-26,1892
2020-08-27,2083
2020-08-28,2365
2020-08-29,1017
2020-08-30,250
2020-08-31,171
2020-09-01,3042
2020-09-02,1579
2020-09-03,2496
2020-09-04,1166
2020-09-05,1245
2020-09-06,290
2020-09-07,159
2020-09-08,421
2020-09-09,1653
2020-09-10,1505
2020-09-11,1352
2020-09-12,1316
2020-09-13,294
2020-09-14,273
2020-09-15,1501
2020-09-16,1442
2020-09-17,1510
2020-09-18,1581
2020-09-19,1443
2020-09-20,281
2020-09-21,228
2020-09-22,1526
2020-09-23,1223
2020-09-24,1387
2020-09-25,1219
2020-09-26,1104
2020-09-27,123
2020-09-28,158
2020-09-29,1373
2020-09-30,1228
2020-10-01,1143
2020-10-02,925
2020-10-03,1099
2020-10-04,67
2020-10-05,124
2020-10-06,1168
2020-10-07,990
2020-10-08,822
2020-10-09,872
2020-10-10,1210
2020-10-11,418
2020-10-12,116
2020-10-13,188
2020-10-14,1014
2020-10-15,1075
2020-10-16,1066
2020-10-17,1015
2020-10-18,92
2020-10-19,69
2020-10-20,888
2020-10-21,802
2020-10-22,847
2020-10-23,1430
2020-10-24,1186
2020-10-25,423
2020-10-26,185
2020-10-27,1331
2020-10-28,1088
2020-10-29,1289
2020-10-30,1256
2020-10-31,705
2020-11-01,245
2020-11-02,131
2020-11-03,187
2020-11-04,1000
2020-11-05,623
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,5306
2020-11-11,946
2020-11-12,1777
2020-11-13,1768
2020-11-14,1313
2020-11-15,300
2020-11-16,187
2020-11-17,2256
2020-11-18,1724
2020-11-19,1970
2020-11-20,2286
2020-11-21,1548
2020-11-22,498
2020-11-23,305
2020-11-24,1482
2020-11-25,2623
2020-11-26,1210
2020-11-27,970
2020-11-28,1408
2020-11-29,589
2020-11-30,290
2020-12-01,2232
2020-12-02,2059
2020-12-03,2075
2020-12-04,2112
2020-12-05,2149
2020-12-06,643
2020-12-07,268
2020-12-08,2045
2020-12-09,2175
2020-12-10,1996
2020-12-11,1954
2020-12-12,1848
2020-12-13,201
2020-12-14,290
2020-12-15,916
2020-12-16,0
2020-12-17,4632
2020-12-18,2025
2020-12-19,2498
2020-12-20,0
2020-12-21,730
2020-12-22,2351
2020-12-23,2413
2020-12-24,2298
2020-12-25,1012
2020-12-26,423
2020-12-27,660
2020-12-28,484
2020-12-29,3445
2020-12-30,3215
2020-12-31,2657
2021-01-01,1117
2021-01-02,553
2021-01-03,637
2021-01-04,551
2021-01-05,2981
2021-01-06,3208
2021-01-07,3127
2021-01-08,3329
2021-01-09,2775
2021-01-10,943
2021-01-11,675
2021-01-12,2638
2021-01-13,3580
2021-01-14,2870
2021-01-15,3466
2021-01-16,3061
2021-01-17,1140
2021-01-18,642
2021-01-19,3466
2021-01-20,3399
2021-01-21,2868
2021-01-22,1716
2021-01-23,3001
2021-01-24,894
2021-01-25,545
2021-01-26,1167
2021-01-27,3293
2021-01-28,3545
2021-01-29,3267
2021-01-30,2721
2021-01-31,764
2021-02-01,468
2021-02-02,3138
2021-02-03,3036
2021-02-04,3213
2021-02-05,2422
2021-02-06,2419
2021-02-07,802
2021-02-08,554
2021-02-09,2737
2021-02-10,2810
2021-02-11,2153
2021-02-12,2529
2021-02-13,2203
2021-02-14,585
2021-02-15,552
2021-02-16,2347
2021-02-17,2685
