uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,2
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,9
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,3
BA,PNEUMONIA,DOMICILIO,"< 9",F,2
BA,PNEUMONIA,HOSPITAL,"< 9",F,40
BA,PNEUMONIA,HOSPITAL,"< 9",M,43
BA,PNEUMONIA,VIA_PUBLICA,"< 9",F,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,201
BA,SEPTICEMIA,HOSPITAL,"< 9",I,1
BA,SEPTICEMIA,HOSPITAL,"< 9",M,253
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,7
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
BA,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
BA,SRAG,HOSPITAL,"< 9",F,10
BA,SRAG,HOSPITAL,"< 9",M,11
CE,OUTRAS,AMBULANCIA,"< 9",F,2
CE,OUTRAS,DOMICILIO,"< 9",F,18
CE,OUTRAS,DOMICILIO,"< 9",M,26
CE,OUTRAS,HOSPITAL,"< 9",F,461
CE,OUTRAS,HOSPITAL,"< 9",I,16
CE,OUTRAS,HOSPITAL,"< 9",M,495
CE,OUTRAS,IGNORADO,"< 9",F,26
CE,OUTRAS,IGNORADO,"< 9",M,22
CE,OUTRAS,OUTRO,"< 9",F,11
CE,OUTRAS,OUTRO,"< 9",M,9
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,12
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,14
CE,OUTRAS,VIA_PUBLICA,"< 9",F,3
CE,OUTRAS,VIA_PUBLICA,"< 9",M,4
CE,COVID,HOSPITAL,"< 9",F,21
CE,COVID,HOSPITAL,"< 9",M,17
CE,COVID,IGNORADO,"< 9",F,1
CE,COVID,IGNORADO,"< 9",M,3
CE,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,INDETERMINADA,DOMICILIO,"< 9",F,1
CE,INDETERMINADA,DOMICILIO,"< 9",M,1
CE,INDETERMINADA,HOSPITAL,"< 9",F,2
CE,INDETERMINADA,HOSPITAL,"< 9",M,5
CE,INDETERMINADA,OUTRO,"< 9",M,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,4
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,31
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,45
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,4
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,6
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
CE,PNEUMONIA,DOMICILIO,"< 9",M,1
CE,PNEUMONIA,HOSPITAL,"< 9",F,37
CE,PNEUMONIA,HOSPITAL,"< 9",M,39
CE,PNEUMONIA,IGNORADO,"< 9",F,3
CE,PNEUMONIA,IGNORADO,"< 9",M,5
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,SEPTICEMIA,AMBULANCIA,"< 9",M,1
CE,SEPTICEMIA,DOMICILIO,"< 9",M,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,91
CE,SEPTICEMIA,HOSPITAL,"< 9",M,130
CE,SEPTICEMIA,IGNORADO,"< 9",F,7
CE,SEPTICEMIA,IGNORADO,"< 9",M,12
CE,SEPTICEMIA,OUTRO,"< 9",M,1
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,6
CE,SRAG,HOSPITAL,"< 9",F,9
CE,SRAG,HOSPITAL,"< 9",M,4
DF,OUTRAS,DOMICILIO,"< 9",F,5
DF,OUTRAS,DOMICILIO,"< 9",M,2
DF,OUTRAS,HOSPITAL,"< 9",F,122
DF,OUTRAS,HOSPITAL,"< 9",I,4
DF,OUTRAS,HOSPITAL,"< 9",M,152
DF,OUTRAS,IGNORADO,"< 9",F,13
DF,OUTRAS,IGNORADO,"< 9",M,10
DF,OUTRAS,OUTRO,"< 9",M,1
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,5
DF,OUTRAS,VIA_PUBLICA,"< 9",F,2
DF,COVID,HOSPITAL,"< 9",F,4
DF,COVID,HOSPITAL,"< 9",M,2
DF,INDETERMINADA,HOSPITAL,"< 9",F,7
DF,INDETERMINADA,HOSPITAL,"< 9",M,1
DF,INDETERMINADA,IGNORADO,"< 9",M,2
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,31
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,37
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
DF,PNEUMONIA,HOSPITAL,"< 9",F,8
DF,PNEUMONIA,HOSPITAL,"< 9",M,15
DF,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,SEPTICEMIA,DOMICILIO,"< 9",M,1
DF,SEPTICEMIA,HOSPITAL,"< 9",F,70
DF,SEPTICEMIA,HOSPITAL,"< 9",M,66
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
DF,SRAG,HOSPITAL,"< 9",F,6
DF,SRAG,HOSPITAL,"< 9",M,4
ES,OUTRAS,DOMICILIO,"< 9",F,10
ES,OUTRAS,DOMICILIO,"< 9",M,16
ES,OUTRAS,HOSPITAL,"< 9",F,122
ES,OUTRAS,HOSPITAL,"< 9",I,1
ES,OUTRAS,HOSPITAL,"< 9",M,141
ES,OUTRAS,OUTRO,"< 9",F,3
ES,OUTRAS,OUTRO,"< 9",M,2
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
ES,OUTRAS,VIA_PUBLICA,"< 9",F,1
ES,OUTRAS,VIA_PUBLICA,"< 9",M,4
ES,COVID,HOSPITAL,"< 9",F,7
ES,COVID,HOSPITAL,"< 9",M,7
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,9
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,12
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
ES,PNEUMONIA,DOMICILIO,"< 9",F,1
ES,PNEUMONIA,DOMICILIO,"< 9",M,1
ES,PNEUMONIA,HOSPITAL,"< 9",F,19
ES,PNEUMONIA,HOSPITAL,"< 9",M,25
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
ES,SEPTICEMIA,DOMICILIO,"< 9",F,1
ES,SEPTICEMIA,HOSPITAL,"< 9",F,68
ES,SEPTICEMIA,HOSPITAL,"< 9",M,76
ES,SRAG,HOSPITAL,"< 9",F,1
ES,SRAG,HOSPITAL,"< 9",M,1
GO,OUTRAS,DOMICILIO,"< 9",F,15
GO,OUTRAS,DOMICILIO,"< 9",M,14
GO,OUTRAS,HOSPITAL,"< 9",F,131
GO,OUTRAS,HOSPITAL,"< 9",I,1
GO,OUTRAS,HOSPITAL,"< 9",M,174
GO,OUTRAS,IGNORADO,"< 9",F,1
GO,OUTRAS,IGNORADO,"< 9",M,2
GO,OUTRAS,OUTRO,"< 9",F,7
GO,OUTRAS,OUTRO,"< 9",M,7
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,13
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,16
GO,OUTRAS,VIA_PUBLICA,"< 9",F,3
GO,OUTRAS,VIA_PUBLICA,"< 9",M,4
GO,COVID,HOSPITAL,"< 9",F,3
GO,COVID,HOSPITAL,"< 9",M,5
GO,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,INDETERMINADA,DOMICILIO,"< 9",M,1
GO,INDETERMINADA,HOSPITAL,"< 9",F,2
GO,INDETERMINADA,IGNORADO,"< 9",M,1
GO,INDETERMINADA,OUTRO,"< 9",M,1
GO,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,48
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,44
GO,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,5
GO,PNEUMONIA,DOMICILIO,"< 9",M,1
GO,PNEUMONIA,HOSPITAL,"< 9",F,28
GO,PNEUMONIA,HOSPITAL,"< 9",M,26
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,SEPTICEMIA,HOSPITAL,"< 9",F,99
GO,SEPTICEMIA,HOSPITAL,"< 9",M,103
GO,SEPTICEMIA,IGNORADO,"< 9",F,2
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,6
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,7
GO,SRAG,HOSPITAL,"< 9",F,3
GO,SRAG,HOSPITAL,"< 9",M,2
MA,OUTRAS,DOMICILIO,"< 9",F,22
MA,OUTRAS,DOMICILIO,"< 9",I,2
MA,OUTRAS,DOMICILIO,"< 9",M,25
MA,OUTRAS,HOSPITAL,"< 9",F,210
MA,OUTRAS,HOSPITAL,"< 9",I,4
MA,OUTRAS,HOSPITAL,"< 9",M,252
MA,OUTRAS,IGNORADO,"< 9",F,2
MA,OUTRAS,IGNORADO,"< 9",M,2
MA,OUTRAS,OUTRO,"< 9",F,2
MA,OUTRAS,OUTRO,"< 9",M,11
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
MA,OUTRAS,VIA_PUBLICA,"< 9",F,5
MA,COVID,HOSPITAL,"< 9",F,8
MA,COVID,HOSPITAL,"< 9",M,2
MA,COVID,OUTRO,"< 9",M,1
MA,INDETERMINADA,DOMICILIO,"< 9",M,2
MA,INDETERMINADA,HOSPITAL,"< 9",F,3
MA,INDETERMINADA,HOSPITAL,"< 9",M,2
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,26
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,31
MA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,PNEUMONIA,DOMICILIO,"< 9",M,2
MA,PNEUMONIA,HOSPITAL,"< 9",F,25
MA,PNEUMONIA,HOSPITAL,"< 9",M,30
MA,PNEUMONIA,IGNORADO,"< 9",M,1
MA,PNEUMONIA,VIA_PUBLICA,"< 9",F,1
MA,PNEUMONIA,VIA_PUBLICA,"< 9",M,1
MA,SEPTICEMIA,DOMICILIO,"< 9",M,1
MA,SEPTICEMIA,HOSPITAL,"< 9",F,51
MA,SEPTICEMIA,HOSPITAL,"< 9",M,68
MA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,SEPTICEMIA,VIA_PUBLICA,"< 9",M,1
MA,SRAG,HOSPITAL,"< 9",F,3
MA,SRAG,HOSPITAL,"< 9",M,4
MG,OUTRAS,DOMICILIO,"< 9",F,38
MG,OUTRAS,DOMICILIO,"< 9",M,51
MG,OUTRAS,HOSPITAL,"< 9",F,681
MG,OUTRAS,HOSPITAL,"< 9",I,14
MG,OUTRAS,HOSPITAL,"< 9",M,788
MG,OUTRAS,IGNORADO,"< 9",F,19
MG,OUTRAS,IGNORADO,"< 9",I,1
MG,OUTRAS,IGNORADO,"< 9",M,15
MG,OUTRAS,OUTRO,"< 9",F,2
MG,OUTRAS,OUTRO,"< 9",M,11
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,11
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,19
MG,OUTRAS,VIA_PUBLICA,"< 9",F,7
MG,OUTRAS,VIA_PUBLICA,"< 9",M,8
MG,COVID,HOSPITAL,"< 9",F,8
MG,COVID,HOSPITAL,"< 9",M,13
MG,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INDETERMINADA,DOMICILIO,"< 9",M,2
MG,INDETERMINADA,HOSPITAL,"< 9",F,8
MG,INDETERMINADA,HOSPITAL,"< 9",I,1
MG,INDETERMINADA,HOSPITAL,"< 9",M,14
MG,INDETERMINADA,OUTRO,"< 9",M,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,108
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,4
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,158
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,3
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MG,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,2
MG,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
MG,PNEUMONIA,DOMICILIO,"< 9",M,1
MG,PNEUMONIA,HOSPITAL,"< 9",F,27
MG,PNEUMONIA,HOSPITAL,"< 9",M,56
MG,PNEUMONIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,SEPTICEMIA,DOMICILIO,"< 9",M,1
MG,SEPTICEMIA,HOSPITAL,"< 9",F,300
MG,SEPTICEMIA,HOSPITAL,"< 9",M,328
MG,SEPTICEMIA,IGNORADO,"< 9",F,4
MG,SEPTICEMIA,IGNORADO,"< 9",M,4
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
MG,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
MG,SRAG,HOSPITAL,"< 9",F,10
MG,SRAG,HOSPITAL,"< 9",M,10
MG,SRAG,IGNORADO,"< 9",M,1
MS,OUTRAS,DOMICILIO,"< 9",F,17
MS,OUTRAS,DOMICILIO,"< 9",M,16
MS,OUTRAS,HOSPITAL,"< 9",F,201
MS,OUTRAS,HOSPITAL,"< 9",M,251
MS,OUTRAS,OUTRO,"< 9",M,5
MS,OUTRAS,VIA_PUBLICA,"< 9",F,5
MS,OUTRAS,VIA_PUBLICA,"< 9",M,7
MS,COVID,HOSPITAL,"< 9",F,1
MS,COVID,HOSPITAL,"< 9",M,2
MS,INDETERMINADA,DOMICILIO,"< 9",M,1
MS,INDETERMINADA,HOSPITAL,"< 9",F,1
MS,INDETERMINADA,POSTO_SAUDE,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,7
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,26
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,36
MS,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
MS,PNEUMONIA,DOMICILIO,"< 9",F,1
MS,PNEUMONIA,DOMICILIO,"< 9",M,1
MS,PNEUMONIA,HOSPITAL,"< 9",F,24
MS,PNEUMONIA,HOSPITAL,"< 9",M,27
MS,PNEUMONIA,VIA_PUBLICA,"< 9",M,2
MS,SEPTICEMIA,HOSPITAL,"< 9",F,46
MS,SEPTICEMIA,HOSPITAL,"< 9",M,62
MS,SRAG,HOSPITAL,"< 9",M,2
MT,OUTRAS,DOMICILIO,"< 9",F,3
MT,OUTRAS,DOMICILIO,"< 9",M,9
MT,OUTRAS,HOSPITAL,"< 9",F,107
MT,OUTRAS,HOSPITAL,"< 9",M,108
MT,OUTRAS,IGNORADO,"< 9",F,85
MT,OUTRAS,IGNORADO,"< 9",M,123
MT,OUTRAS,OUTRO,"< 9",F,5
MT,OUTRAS,OUTRO,"< 9",M,9
MT,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MT,OUTRAS,VIA_PUBLICA,"< 9",F,1
MT,OUTRAS,VIA_PUBLICA,"< 9",M,3
MT,COVID,HOSPITAL,"< 9",F,1
MT,COVID,HOSPITAL,"< 9",M,3
MT,COVID,OUTRO,"< 9",M,1
MT,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MT,COVID,VIA_PUBLICA,"< 9",F,1
MT,INDETERMINADA,DOMICILIO,"< 9",M,1
MT,INDETERMINADA,IGNORADO,"< 9",F,1
MT,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,14
